SourceNode,TargetNode,Interaction
1,85,positive
1,3,positive
1,88,positive
1,2,positive
1,77,positive
1,0,positive
1,7,positive
1,53,positive
1,36,positive
1,8,positive
1,6,positive
1,4,positive
5,72,negative
5,27,negative
5,11,positive
5,44,negative
5,75,negative
5,87,negative
5,35,negative
5,57,negative
5,73,negative
5,59,negative
5,0,negative
5,7,negative
5,53,negative
5,36,positive
5,8,negative
5,6,negative
5,4,negative
5,67,negative
5,82,negative
5,29,negative
5,13,positive
9,15,positive
9,28,positive
9,61,positive
9,54,positive
9,45,positive
9,38,negative
9,62,positive
9,41,positive
9,49,positive
9,99,positive
9,93,positive
9,21,negative
9,81,positive
9,11,positive
9,69,positive
9,71,positive
9,14,positive
9,40,positive
9,66,negative
9,34,positive
9,51,positive
9,23,positive
9,84,positive
9,55,positive
9,97,negative
9,58,positive
9,48,positive
9,16,positive
9,96,positive
9,37,positive
9,91,positive
9,52,positive
9,12,positive
9,65,negative
9,0,positive
9,7,positive
9,53,positive
9,36,positive
9,8,positive
9,6,positive
9,4,positive
9,78,positive
9,17,positive
9,70,positive
9,10,positive
18,46,negative
18,63,negative
18,47,negative
18,56,negative
18,64,negative
18,39,negative
18,19,negative
18,22,negative
18,74,negative
18,24,negative
18,20,negative
18,33,negative
18,83,negative
18,76,negative
18,60,negative
18,98,negative
18,50,negative
18,0,negative
18,7,negative
18,53,negative
18,36,negative
18,8,negative
18,6,negative
18,4,negative
18,25,negative
18,32,negative
18,42,negative
18,26,negative
18,30,negative
62,45,positive
62,38,positive
62,41,positive
77,2,positive
79,80,positive
79,72,positive
79,94,positive
79,89,positive
79,95,positive
79,92,positive
79,63,positive
79,47,positive
79,56,positive
79,64,positive
79,39,positive
79,85,positive
79,83,positive
79,76,positive
90,99,positive
90,93,positive
90,21,positive
90,81,positive
90,11,positive
97,84,positive
97,55,positive
102,156,positive
102,157,positive
102,158,negative
102,159,positive
102,160,positive
102,161,positive
102,162,positive
102,164,positive
102,79,negative
102,80,positive
102,92,positive
102,100,positive
102,101,positive
102,103,positive
102,104,positive
102,105,positive
102,106,positive
102,107,positive
102,108,positive
102,120,positive
102,124,positive
102,125,positive
102,126,positive
127,126,positive
127,109,positive
127,110,positive
127,111,positive
127,86,positive
127,89,positive
127,125,positive
127,128,positive
127,129,positive
127,130,positive
127,131,negative
127,132,positive
127,133,positive
127,134,positive
127,139,positive
127,140,positive
127,160,positive
127,141,positive
127,31,negative
127,43,positive
127,68,positive
127,121,positive
127,122,positive
127,123,positive
127,174,positive
127,181,positive
127,185,positive
147,135,positive
147,136,positive
147,137,positive
147,138,positive
147,141,positive
147,142,positive
147,143,positive
147,144,positive
147,145,positive
147,130,positive
147,131,positive
147,126,positive
147,161,positive
147,159,positive
147,157,positive
147,175,positive
147,176,positive
147,177,positive
147,178,positive
147,179,positive
147,180,positive
147,182,positive
147,146,positive
163,112,positive
163,113,positive
163,114,positive
163,115,positive
163,116,positive
163,117,positive
163,118,positive
163,119,positive
163,79,positive
163,76,positive
163,72,positive
117,95,positive
163,148,positive
163,149,positive
163,150,positive
163,151,positive
163,152,positive
163,153,positive
163,154,positive
163,155,positive
163,165,positive
163,166,positive
163,167,positive
163,168,positive
163,169,positive
163,170,positive
163,171,positive
163,172,positive
163,173,positive
192,183,positive
192,184,positive
192,186,positive
192,187,positive
192,188,positive
192,189,positive
192,190,positive
192,191,positive
192,193,positive
192,194,positive
192,195,positive
192,196,positive
192,197,positive
192,198,positive
192,199,positive
192,165,positive
192,170,positive
192,114,positive
192,109,positive
192,111,positive
192,139,positive
192,89,positive
192,86,positive
78,14,positive
78,37,positive
62,28,positive
62,12,positive
62,40,positive
14,38,positive
144,145,positive
136,177,positive
5,90,negative
113,150,positive
9,1,positive
86,102,positive
5,163,positive
